timestamp,ip,port,msg_id,msg_name,intent,severity,payload_hex,session_id,honeypot_state,packet_rate
2026-04-20T08:18:25.755326,10.anon.55.4,30130,0,NON_MAVLINK_PROBE,SCANNER,0,,7ebbd1fc,NORMAL,0.0
2026-04-20T08:18:25.773558,10.anon.207.139,10660,0,NON_MAVLINK_PROBE,SCANNER,0,,fbe97fa2,NORMAL,0.0
2026-04-20T08:18:25.811455,10.anon.43.201,46340,0,NON_MAVLINK_PROBE,SCANNER,0,,a0096a59,NORMAL,0.0
2026-04-20T08:18:25.833346,10.anon.121.135,45998,0,NON_MAVLINK_PROBE,SCANNER,0,,3d17d1a7,NORMAL,0.0
2026-04-20T08:18:25.845073,10.anon.42.14,33404,0,NON_MAVLINK_PROBE,SCANNER,0,,c82209d1,NORMAL,0.0
2026-04-20T08:18:25.882039,10.anon.51.96,64042,0,NON_MAVLINK_PROBE,SCANNER,0,,5b676963,NORMAL,0.0
2026-04-20T08:18:25.906252,10.anon.210.194,46506,0,NON_MAVLINK_PROBE,SCANNER,0,,9b95d634,NORMAL,0.0
2026-04-20T08:18:25.965262,10.anon.212.162,36588,0,NON_MAVLINK_PROBE,SCANNER,0,,76c99731,NORMAL,0.0
2026-04-20T08:18:25.973086,10.anon.120.36,52606,0,NON_MAVLINK_PROBE,SCANNER,0,,0201ea7c,NORMAL,0.0
2026-04-20T08:18:26.021702,10.anon.125.68,6922,0,NON_MAVLINK_PROBE,SCANNER,0,,1daadca5,NORMAL,0.0
2026-04-20T08:18:26.059320,10.anon.167.240,30258,0,NON_MAVLINK_PROBE,SCANNER,0,,205341fd,NORMAL,0.0
2026-04-20T08:18:26.069712,10.anon.156.154,46732,0,NON_MAVLINK_PROBE,SCANNER,0,,79e64223,NORMAL,0.0
2026-04-20T08:18:26.246645,10.anon.122.88,44656,0,NON_MAVLINK_PROBE,SCANNER,0,,57550d32,NORMAL,0.0
2026-04-20T08:18:26.201732,10.anon.184.208,30738,0,NON_MAVLINK_PROBE,SCANNER,0,,b442c235,NORMAL,0.0
2026-04-20T08:18:26.245959,10.anon.153.148,64892,0,NON_MAVLINK_PROBE,SCANNER,0,,bec42b92,NORMAL,0.0
2026-04-20T08:18:26.260472,10.anon.104.78,20256,0,NON_MAVLINK_PROBE,SCANNER,0,,676ecb93,NORMAL,0.0
2026-04-20T08:18:26.464397,10.anon.234.126,37470,0,NON_MAVLINK_PROBE,SCANNER,0,,8c015594,NORMAL,0.0
2026-04-20T08:18:26.470165,10.anon.45.202,46478,0,NON_MAVLINK_PROBE,SCANNER,0,,32c38acd,NORMAL,0.0
2026-04-20T08:18:26.608047,10.anon.123.66,35520,0,NON_MAVLINK_PROBE,SCANNER,0,,3286d074,NORMAL,0.0
2026-04-20T08:18:26.608740,10.anon.221.144,4590,0,NON_MAVLINK_PROBE,SCANNER,0,,769ecf6a,NORMAL,0.0
2026-04-20T08:18:26.815583,10.anon.224.89,46316,0,NON_MAVLINK_PROBE,SCANNER,0,,1348fccb,NORMAL,0.0
2026-04-20T08:18:26.854017,10.anon.100.98,47912,0,NON_MAVLINK_PROBE,SCANNER,0,,1416fbad,NORMAL,0.0
2026-04-20T08:18:27.004274,10.anon.7.174,37882,0,NON_MAVLINK_PROBE,SCANNER,0,,821f6499,NORMAL,0.0
2026-04-20T08:18:26.990575,10.anon.150.138,7070,0,NON_MAVLINK_PROBE,SCANNER,0,,e0d57318,NORMAL,0.0
2026-04-20T08:18:27.028013,10.anon.30.133,15920,0,NON_MAVLINK_PROBE,SCANNER,0,,7c1e011c,NORMAL,0.0
2026-04-20T08:18:27.086176,10.anon.92.27,37080,0,NON_MAVLINK_PROBE,SCANNER,0,,cb9ac78a,NORMAL,0.0
2026-04-20T08:18:27.126256,10.anon.110.143,49834,0,NON_MAVLINK_PROBE,SCANNER,0,,e19c52cc,NORMAL,0.0
2026-04-20T08:18:29.279697,10.anon.44.206,50240,0,NON_MAVLINK_PROBE,SCANNER,0,,5665c6b6,NORMAL,0.0
2026-04-21T05:27:31.159372,10.anon.44.206,53061,0,NON_MAVLINK_PROBE,SCANNER,0,,fe598798,NORMAL,0.0
2026-04-21T05:29:49.515572,10.anon.44.206,53093,0,NON_MAVLINK_PROBE,SCANNER,0,,ed135a05,NORMAL,0.0
2026-04-21T05:30:21.934468,10.anon.44.206,53108,0,NON_MAVLINK_PROBE,SCANNER,0,,93e28e28,NORMAL,0.0
2026-04-21T05:31:44.406577,10.anon.44.206,53123,0,NON_MAVLINK_PROBE,SCANNER,0,,262a427c,NORMAL,0.0
2026-04-21T05:31:44.438561,127.0.0.1,34774,0,NON_MAVLINK_PROBE,SCANNER,0,,dd420749,NORMAL,0.0
2026-04-21T05:36:36.096300,10.anon.44.206,53284,0,NON_MAVLINK_PROBE,SCANNER,0,,0136133b,NORMAL,0.0
2026-04-21T05:36:36.133180,127.0.0.1,59856,0,NON_MAVLINK_PROBE,SCANNER,0,,cc1a53c4,NORMAL,0.0
2026-04-21T06:47:45.594192,127.0.0.1,39514,0,NON_MAVLINK_PROBE,SCANNER,0,,e1cced10,NORMAL,0.0
2026-04-21T08:00:38.394937,127.0.0.1,32808,0,NON_MAVLINK_PROBE,SCANNER,0,,78a530c2,NORMAL,0.0
2026-04-21T08:00:53.013225,127.0.0.1,55228,0,NON_MAVLINK_PROBE,SCANNER,0,,1e4785f0,NORMAL,0.0
2026-04-21T08:02:59.207343,127.0.0.1,52912,0,NON_MAVLINK_PROBE,SCANNER,0,,779076da,NORMAL,0.0
2026-04-21T08:03:06.057926,127.0.0.1,38642,0,NON_MAVLINK_PROBE,SCANNER,0,,22329e78,NORMAL,0.0
2026-04-21T08:05:27.424382,127.0.0.1,55820,0,NON_MAVLINK_PROBE,SCANNER,0,,284cdf7e,NORMAL,0.0
2026-04-21T08:06:06.575692,127.0.0.1,52608,0,NON_MAVLINK_PROBE,SCANNER,0,,96404652,NORMAL,0.0
2026-04-21T08:19:02.930431,127.0.0.1,48874,0,NON_MAVLINK_PROBE,SCANNER,0,,6be98a72,NORMAL,0.0
2026-04-21T08:43:21.128504,127.0.0.1,60210,0,NON_MAVLINK_PROBE,SCANNER,0,,00100956,NORMAL,0.0
2026-04-21T08:43:38.295994,127.0.0.1,48170,0,NON_MAVLINK_PROBE,SCANNER,0,,87cc641e,NORMAL,0.0
2026-04-21T08:43:56.506259,127.0.0.1,43588,0,NON_MAVLINK_PROBE,SCANNER,0,,51dd1e3b,NORMAL,0.0
2026-04-21T08:44:04.597958,127.0.0.1,39886,0,NON_MAVLINK_PROBE,SCANNER,0,,5cbcc925,NORMAL,0.0
2026-04-21T08:44:12.589222,127.0.0.1,35230,0,NON_MAVLINK_PROBE,SCANNER,0,,feaba100,NORMAL,0.0
2026-04-21T08:44:20.603333,127.0.0.1,35232,0,NON_MAVLINK_PROBE,SCANNER,0,,ac610cb7,NORMAL,0.0
2026-04-21T08:44:28.583262,127.0.0.1,37062,0,NON_MAVLINK_PROBE,SCANNER,0,,1bae5215,NORMAL,0.0
2026-04-21T08:44:36.604153,127.0.0.1,47500,0,NON_MAVLINK_PROBE,SCANNER,0,,ea514b42,NORMAL,0.0
2026-04-21T08:44:44.592007,127.0.0.1,48764,0,NON_MAVLINK_PROBE,SCANNER,0,,2235c87d,NORMAL,0.0
2026-04-21T08:44:52.597779,127.0.0.1,55952,0,NON_MAVLINK_PROBE,SCANNER,0,,24599e42,NORMAL,0.0
2026-04-21T08:45:00.603057,127.0.0.1,55958,0,NON_MAVLINK_PROBE,SCANNER,0,,aaa82ef1,NORMAL,0.0
2026-04-21T08:45:08.595123,127.0.0.1,40270,0,NON_MAVLINK_PROBE,SCANNER,0,,78acebd3,NORMAL,0.0
2026-04-21T08:45:16.604502,127.0.0.1,56652,0,NON_MAVLINK_PROBE,SCANNER,0,,aca14b09,NORMAL,0.0
2026-04-21T08:45:24.604951,127.0.0.1,33072,0,NON_MAVLINK_PROBE,SCANNER,0,,b6f503f0,NORMAL,0.0
2026-04-21T08:45:32.610727,127.0.0.1,37378,0,NON_MAVLINK_PROBE,SCANNER,0,,83d8a349,NORMAL,0.0
2026-04-21T09:33:00.432207,127.0.0.1,57968,0,NON_MAVLINK_PROBE,SCANNER,0,,6f22258a,NORMAL,0.0
2026-04-21T10:49:52.424744,127.0.0.1,56804,0,NON_MAVLINK_PROBE,SCANNER,0,,075d4a89,NORMAL,0.0
2026-04-21T11:26:50.587563,127.0.0.1,35582,0,NON_MAVLINK_PROBE,SCANNER,0,,e7d6dfb4,NORMAL,0.0
2026-04-21T11:27:58.319764,10.anon.177.162,64361,0,NON_MAVLINK_PROBE,SCANNER,0,,721d55f3,NORMAL,0.0
2026-04-21T11:58:18.840950,127.0.0.1,52856,0,NON_MAVLINK_PROBE,SCANNER,0,,fdb09f37,NORMAL,0.0
2026-04-21T12:00:33.998321,127.0.0.1,39136,0,NON_MAVLINK_PROBE,SCANNER,0,,dac6529a,NORMAL,0.0
2026-04-21T12:26:13.224117,127.0.0.1,44724,0,NON_MAVLINK_PROBE,SCANNER,0,,53bdc4c6,NORMAL,0.0
2026-04-21T13:30:44.486833,127.0.0.1,40362,0,NON_MAVLINK_PROBE,SCANNER,0,,6277e421,NORMAL,0.0
